business_type,city,city_tier,store_size_sqft,years_of_operation,month,year,is_festival_season,avg_daily_footfall,conversion_rate,avg_transaction_value,customer_rating,marketing_spend,discount_percentage,inventory_level,supplier_cost,logistics_cost,rent_cost,employee_count,avg_employee_salary,electricity_cost,monthly_sales,monthly_profit
Pharmacy,Mumbai,2,1129,20,11,2023,0,726,0.1585284694666105,340,2.641177395019429,71761,7.957493209208133,2385,60474,16156,122741,33,36396,26570,1202639.422094144,-224369.57790585607
Service,Hyderabad,3,4682,15,6,2019,0,459,0.2532838551739239,3875,4.845328081345593,20805,27.15774066793419,2931,168573,14481,26347,8,8561,14842,13523231.907261612,13230500.907261612
Electronics,Hyderabad,3,1673,10,6,2018,0,558,0.1721904492019754,299,4.682098341289841,106627,0.95943359463603,4140,151416,30038,67731,30,31407,24001,904508.7677726793,-310887.23222732067
Service,Delhi,1,3487,19,4,2019,0,196,0.11290963314400408,1089,3.618977669405406,160236,33.19878165820519,2252,156467,44366,88695,28,9177,10765,787090.9121036641,229841.91210366413
Service,Bangalore,1,3182,16,4,2022,0,834,0.5304489467317001,2650,4.902519081253216,13987,5.317086330365428,2520,116033,46010,83893,34,22942,10362,35175951.31515191,34139625.31515191
Food,Hyderabad,2,4991,2,9,2022,0,775,0.461740250339805,765,4.960882834745657,148446,27.009969588651252,3447,124363,10250,93305,25,25053,26435,8272005.927606357,7391327.927606357
Electronics,Chennai,2,2209,18,12,2018,1,634,0.4295743043423727,3530,3.056821203333781,43352,15.160149259432023,177,156868,44898,103840,16,34544,16752,28909217.338129513,28034155.338129513
Electronics,Hyderabad,3,4417,6,9,2019,1,299,0.09640465034884294,2532,4.971743925430449,165586,29.196109887971357,4178,59511,59076,66336,7,18927,25278,2305780.6749089346,1963090.6749089346
Electronics,Hyderabad,3,2052,3,2,2024,1,722,0.5415319511071597,962,4.686263224347494,181744,16.630035650623935,2657,110281,58425,63567,46,39824,13251,11406555.542663798,9329127.542663798
Service,Hyderabad,2,2684,11,2,2021,1,576,0.4836438520300811,364,2.614776966055565,100512,39.790737403034406,3075,193017,30357,74784,30,29218,14265,3132285.9377610474,1943322.9377610474
Pharmacy,Hyderabad,3,3450,18,5,2019,1,375,0.2910388641412623,2835,4.157631973345941,186675,29.412548011760236,4974,101926,15330,54019,21,43310,18487,9406990.773205385,8307718.773205385
Electronics,Chennai,1,931,4,2,2019,1,320,0.06900718380518037,548,2.679071049105807,158429,28.9445361067232,3459,21384,9100,28502,29,19115,16254,476404.5925622928,-153170.40743770718
Service,Bangalore,1,2644,13,8,2021,1,528,0.37986323891245277,3391,2.913164717094174,6755,5.3830875644985365,3982,188309,54281,67460,46,31370,16976,20456463.291529696,18686417.291529696
Food,Hyderabad,1,3150,1,1,2019,0,279,0.1422950121851831,1495,3.6314590401612934,50980,10.162907370940273,502,67938,7204,42778,44,26718,25536,1800950.831725024,481902.8317250239
Pharmacy,Delhi,3,1027,3,7,2021,1,318,0.5673222007027827,1610,3.5968490827246207,83028,6.038726022517347,2872,74028,37411,109810,46,23609,28724,8796939.809474321,7460952.809474321
Food,Chennai,3,1721,9,11,2018,0,828,0.12826954931040796,4549,2.5022418542305296,170756,37.696742357604876,2695,26762,21501,52320,43,48544,9376,14562397.186556058,12365046.186556058
Pharmacy,Mumbai,3,2710,20,6,2019,0,596,0.3729468721139987,591,4.020010485031018,131570,20.87421237871176,581,52850,55352,108550,39,26750,25033,3993587.4333783938,2708552.4333783938
Service,Bangalore,2,1216,19,3,2019,1,864,0.07654022118533155,4649,4.656622149093365,45644,19.196483639777846,3527,78783,13248,10199,15,35060,12592,9291513.456492517,8650791.456492517
Retail,Chennai,3,4250,14,11,2018,1,415,0.5336354949381154,922,4.437428584302461,56330,24.264226014110104,2723,191173,57828,25902,6,14850,15453,6198080.482845132,5818624.482845132
